Element;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Ta;0;0.00849;0.04192;0.08347;0.41176;0.8233;4.01912;7.95312;16.06933;;;;;;;;
W;0;0.21185;1.04538;2.08166;10.26874;20.53227;100.23225;198.34166;400.75054;;;;;;;;
Re;0;0.10972;0.54141;1.07812;5.31831;10.63392;51.91153;102.72362;207.5537;;;;;;;;
Tl;0;0.10917;0.53869;1.0727;5.29156;10.58043;51.65041;102.2069;206.50967;;;;;;;;
Pb;0;0.11016;0.54359;1.08246;5.33971;10.67671;52.12043;103.137;208.38893;;;;;;;;
Pb;0;0.11016;0.54359;1.08246;5.33971;10.67671;52.12043;103.137;208.38893;;;;;;;;
Pb;0;0.11016;0.54359;1.08246;5.33971;10.67671;52.12043;103.137;208.38893;;;;;;;;
Bi;0;0.10983;0.54196;1.0792;5.32366;10.64462;51.96376;102.82696;207.76251;;;;;;;;
Th;0;0.01045;0.05158;0.10272;0.50669;1.01312;4.94574;9.78673;19.77414;;;;;;;;
U;0;0.01047;0.05169;0.10292;0.50771;1.01516;4.95568;9.8064;19.81389;;;;;;;;
